000 0.893020 -0.253067 1.818008
005 0.840523 -0.175502 1.795053
010 0.786396 -0.101862 1.759416
015 0.727919 -0.037242 1.749553
020 0.672315 0.033821 1.711403
025 0.611159 0.101794 1.669198
030 0.560239 0.163589 1.626409
035 0.494473 0.223845 1.591225
040 0.449569 0.278221 1.563503
045 0.410140 0.328179 1.511086
050 0.363218 0.349879 1.393906
055 0.321170 0.412457 1.427514
060 0.273637 0.431970 1.312291
065 0.239242 0.461275 1.254161
070 0.188717 0.481936 1.179923
075 0.166397 0.496732 1.120194
140 0.384486 -1.012865 -0.825010
145 0.442141 -1.050263 -0.792161
150 0.496094 -1.166676 -0.806895
160 0.628734 -1.291857 -0.744339
165 0.646206 -1.304068 -0.682044
170 0.698346 -1.378459 -0.648085
175 0.753927 -1.382413 -0.584713
180 0.809438 -1.487764 -0.555222
185 0.873744 -1.565753 -0.522774
190 0.876010 -1.505643 -0.422654
195 0.938334 -1.575027 -0.382219
200 0.975862 -1.552640 -0.260664
205 1.029969 -1.619658 -0.200255
210 1.066431 -1.664098 -0.145732
215 1.138767 -1.708195 -0.079973
220 1.187493 -1.709961 0.016601
230 1.265107 -1.697274 0.218535
240 1.308172 -1.680924 0.407175
250 1.356424 -1.639778 0.597241
320 1.228765 -0.885813 1.648513
330 1.174710 -0.728762 1.734411
