000 -4324.306921
005 -4324.308145
010 -4324.304049
015 -4324.311716
020 -4324.307298
025 -4324.301411
030 -4324.292932
035 -4324.283492
040 -4324.270172
045 -4324.255485
050 -4324.234076
055 -4324.221692
060 -4324.196110
065 -4324.169400
070 -4324.138152
075 -4324.101811
140 -4324.176537
145 -4324.199072
150 -4324.224105
160 -4324.255788
165 -4324.267524
170 -4324.281010
175 -4324.287540
180 -4324.300533
185 -4324.306370
190 -4324.304698
195 -4324.310090
200 -4324.300424
205 -4324.305018
210 -4324.302870
215 -4324.296553
220 -4324.288896
230 -4324.261561
240 -4324.223324
250 -4324.170414
320 -4324.167660
330 -4324.222947
